library,compound_id,label,MW,logP,HBD,HBA,TPSA,RotBonds,AromaticRings,HeavyAtoms,FormalCharge,QED,Fsp3,LipinskiViolations
fpr2_actives_chembl,CHEMBL5888822,active,544.4360000000001,3.4254000000000007,3,5,120.5,7,2,35,0,0.49361415857330615,0.4090909090909091,1
fpr2_actives_chembl,CHEMBL5858081,active,539.58,3.3884000000000016,3,5,120.5,7,2,37,0,0.4983474610062676,0.4583333333333333,1
fpr2_actives_chembl,CHEMBL5870097,active,553.607,3.778500000000002,3,5,120.5,7,2,38,0,0.48216291097738306,0.48,1
fpr2_actives_chembl,CHEMBL5921244,active,526.4460000000001,3.2863000000000007,3,5,120.5,7,2,34,0,0.5116362588906986,0.4090909090909091,1
fpr2_actives_chembl,CHEMBL5820497,active,523.5620000000001,2.580899999999999,3,6,129.73000000000002,9,2,36,0,0.4633912564646766,0.43478260869565216,1
fpr2_actives_chembl,CHEMBL5741447,active,525.5530000000001,2.9983000000000013,3,5,120.5,7,2,36,0,0.513452137476493,0.43478260869565216,1
fpr2_actives_chembl,CHEMBL5877192,active,525.5530000000001,2.9983000000000013,3,5,120.5,7,2,36,0,0.513452137476493,0.43478260869565216,1
fpr2_actives_chembl,CHEMBL5825462,active,442.44100000000014,4.577680000000003,2,3,85.22999999999999,4,2,32,0,0.727092377468842,0.34782608695652173,0
fpr2_actives_chembl,CHEMBL5982050,active,501.99000000000046,3.5550000000000024,2,5,86.80000000000001,6,2,35,0,0.6318304662463646,0.48,1
fpr2_actives_chembl,CHEMBL5805420,active,515.5800000000005,4.935000000000004,2,4,77.57000000000001,6,2,37,0,0.5718140326572453,0.5185185185185185,1
fpr2_actives_chembl,CHEMBL6022286,active,515.5800000000005,4.935000000000004,2,4,77.57000000000001,6,2,37,0,0.5718140326572453,0.5185185185185185,1
